animation_index,animation_name,symbol_count,symbols,scene_match_count,scene_matches,meaningful_scene_matches,seq_data_size
168,crate_part_fly01,9,NA | crate_lightwood01 | crate_part_fly01 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood01 | crate_parts,crate_lightwood01 | crate_parts,1096
169,crate_part_fly02,9,NA | crate_lightwood02 | crate_part_fly02 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood02 | crate_parts,crate_lightwood02 | crate_parts,1096
170,crate_part_fly03,9,NA | crate_lightwood03 | crate_part_fly03 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood03 | crate_parts,crate_lightwood03 | crate_parts,1096
171,crate_part_fly07,9,NA | crate_lightwood07 | crate_part_fly07 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood07 | crate_parts,crate_lightwood07 | crate_parts,1096
172,crate_part_fly12,9,NA | crate_lightwood12 | crate_part_fly12 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood12 | crate_parts,crate_lightwood12 | crate_parts,1096
173,crate_part_fly13,9,NA | crate_lightwood13 | crate_part_fly13 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood13 | crate_parts,crate_lightwood13 | crate_parts,1096
174,crate_part_fly14,9,NA | crate_lightwood14 | crate_part_fly14 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood14 | crate_parts,crate_lightwood14 | crate_parts,1096
175,crate_part_fly20,9,NA | crate_lightwood20 | crate_part_fly20 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood20 | crate_parts,crate_lightwood20 | crate_parts,1096
176,crate_part_fly23,9,NA | crate_lightwood23 | crate_part_fly23 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood23 | crate_parts,crate_lightwood23 | crate_parts,1096
177,crate_part_fly24,9,NA | crate_lightwood24 | crate_part_fly24 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood24 | crate_parts,crate_lightwood24 | crate_parts,1096
178,crate_part_fly26,9,NA | crate_lightwood26 | crate_part_fly26 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood26 | crate_parts,crate_lightwood26 | crate_parts,1096
179,crate_part_fly28,9,NA | crate_lightwood28 | crate_part_fly28 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_lightwood28 | crate_parts,crate_lightwood28 | crate_parts,1096
180,turn_off_gen,5,NA | gen_fiddle_switch | turn_off_gen | gen_switch_up | gen_switch_down,1,gen_fiddle_switch,gen_fiddle_switch,380
181,gen_switch_down,25,NA | generator_1 | gen_switch_down | switch | generator_off | alarm_switch_down | aklite_out01 | aklite_out02 | aklite_out03 | aklite_out04 | aklite_out05 | aklite_out06 | aklite_out07 | aklite_out08 | aklite_out09 | aklite_out10 | aklite_out11 | aklite_out12 | aklite_out13 | aklite_out14 | aklite_out15 | aklite_out16 | gen_goin_down | gen_smoke1 | SND_GEN_DESTROY,2,generator_1 | switch,generator_1,660
182,gen_switch_up,23,NA | generator_1 | gen_switch_up | switch | generator_off | alarm_switch_up | gen_smoke1 | aklite_on01 | aklite_on02 | aklite_on03 | aklite_on04 | aklite_on05 | aklite_on06 | aklite_on07 | aklite_on08 | aklite_on09 | aklite_on10 | aklite_on11 | aklite_on12 | aklite_on13 | aklite_on14 | aklite_on15 | aklite_on16,2,generator_1 | switch,generator_1,604
183,generator_1,41,NA | generator_1 | generator_dis | generator_off | alarm_action_plate | alarm_switch_down | generator | turn_off_gen | kill_switch | gen_fiddle_switch | gen_good | destroyed | gen_parts | aklite_out01 | aklite_out02 | aklite_out03 | aklite_out04 | aklite_out05 | aklite_out06 | aklite_out07 | aklite_out08 | aklite_out09 | aklite_out10 | aklite_out11 | aklite_out12 | aklite_out13 | aklite_out14 | aklite_out15 | aklite_out16 | gen_part_fly | part1 | part2 | part3 | part4 | stack | destroyed_di | gen_goin_down | gen_smoke1 | SND_GEN_DESTROY | frame | switch,16,generator_1 | generator_dis | alarm_action_plate | kill_switch | gen_fiddle_switch | gen_good | destroyed | gen_parts | part1 | part2 | part3 | part4 | stack | destroyed_di | frame | switch,generator_1 | generator_dis | alarm_action_plate | kill_switch | gen_fiddle_switch | gen_good | gen_parts | stack | destroyed_di,768
184,gen_part_fly,5,NA | generator_1 | gen_part_fly | gen_parts | m8,2,generator_1 | gen_parts,generator_1 | gen_parts,348
185,gen_smoke1,8,NA | generator_1 | gen_smoke1 | stack | cloudpuff01.tif | wiggle | SND_GENERATOR_LOOP | SND_GENERATOR_AMBIENCE_LOOP,3,generator_1 | stack | wiggle,generator_1 | stack | wiggle,1008
186,gentire1,3,NA | gentire1 | tire_single_di,2,gentire1 | tire_single_di,gentire1 | tire_single_di,196
187,gentire2,3,NA | gentire2 | tire_single_di,2,gentire2 | tire_single_di,gentire2 | tire_single_di,196
188,alaska4h_beartrap01,5,NA | alaska4h_beartrap01 | tread_here | left_clamp | right_clamp,4,alaska4h_beartrap01 | tread_here | left_clamp | right_clamp,alaska4h_beartrap01 | tread_here | left_clamp | right_clamp,312
189,fireplace_flame1,14,NA | fireplace_node1 | fireplace_flame1 | firesound_off | firesound_on | SND_SMALL_FIRE_LOOP | indoor_outdoor | fireplace_fire | fire_hardedge.tif | fireplace_lapping1 | fireplace_sparks | cloudpuff01.tif | fireplace_smoke1 | fireplacelight1,2,fireplace_node1 | fireplacelight1,fireplace_node1 | fireplacelight1,1916
190,fireplace_flame2,14,NA | fireplace_node2 | fireplace_flame2 | firesound_off | firesound_on | SND_SMALL_FIRE_LOOP | indoor_outdoor | depot_fireplace_fire | fire_hardedge.tif | depot_fireplace_lapping1 | depot_fireplace_sparks | cloudpuff01.tif | depot_fireplace_smoke1 | fireplacelight2,2,fireplace_node2 | fireplacelight2,fireplace_node2 | fireplacelight2,1916
191,smobile1,16,NA | smobile1 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10,15,smobile1 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10,smobile1 | smobile_hitme | hulkdi,60
192,smobile2,16,NA | smobile2 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10,15,smobile2 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10,smobile2 | smobile_hitme | hulkdi,60
193,smobile3,16,NA | smobile3 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10,15,smobile3 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10,smobile3 | smobile_hitme | hulkdi,60
194,smobile1,21,NA | smobile1 | smobile_hitme | healthy | destroyed | hulkdi | smobile_flypart1 | part1 | part2 | part3 | part4 | part5 | part7 | part8 | part9 | part10 | main_barrel_fire | hulk | fire_hardedge.tif | fire_smoker1 | cloudpuff01.tif,15,smobile1 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part7 | part8 | part9 | part10 | hulk,smobile1 | smobile_hitme | hulkdi | hulk,1016
195,smobile2,21,NA | smobile2 | smobile_hitme | healthy | destroyed | hulkdi | smobile_flypart2 | part1 | part2 | part3 | part4 | part5 | part7 | part8 | part9 | part10 | main_barrel_fire | hulk | fire_hardedge.tif | fire_smoker1 | cloudpuff01.tif,15,smobile2 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part7 | part8 | part9 | part10 | hulk,smobile2 | smobile_hitme | hulkdi | hulk,1016
196,smobile3,21,NA | smobile3 | smobile_hitme | healthy | destroyed | hulkdi | smobile_flypart3 | part1 | part2 | part3 | part4 | part5 | part7 | part8 | part9 | part10 | main_barrel_fire | hulk | fire_hardedge.tif | fire_smoker1 | cloudpuff01.tif,15,smobile3 | smobile_hitme | healthy | destroyed | hulkdi | part1 | part2 | part3 | part4 | part5 | part7 | part8 | part9 | part10 | hulk,smobile3 | smobile_hitme | hulkdi | hulk,1016
197,smobile_flypart1,5,NA | smobile1 | smobile_flypart1 | destroyed | m8,2,smobile1 | destroyed,smobile1,260
198,smobile_flypart2,5,NA | smobile2 | smobile_flypart2 | destroyed | m8,2,smobile2 | destroyed,smobile2,260
199,smobile_flypart3,5,NA | smobile3 | smobile_flypart3 | destroyed | m8,2,smobile3 | destroyed,smobile3,260
200,outhousedoor1,3,NA | door_outhouse1 | outhousedoor1,1,door_outhouse1,door_outhouse1,36
201,outhousedoor2,3,NA | door_outhouse2 | outhousedoor2,1,door_outhouse2,door_outhouse2,36
202,top_outhouse1,37,NA | outhouse1 | top_outhouse1 | hitthecan | toilet | outhousedoor1 | vishealthy | out_count | C4 Ammo | c4 | toilet_flypart1 | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | part13 | part14 | part15 | holetrigger | visbase | base | part16 | part17 | part18 | part19 | part20 | part21 | part22 | part23,30,outhouse1 | hitthecan | toilet | vishealthy | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | part13 | part14 | part15 | holetrigger | visbase | base | part16 | part17 | part18 | part19 | part20 | part21 | part22 | part23,outhouse1 | hitthecan | toilet | vishealthy | holetrigger | visbase,504
203,top_outhouse2,37,NA | outhouse2 | top_outhouse2 | hitthecan | toilet | outhousedoor2 | vishealthy | out_count | C4 Ammo | c4 | toilet_flypart2 | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | part13 | part14 | part15 | holetrigger | visbase | base | part16 | part17 | part18 | part19 | part20 | part21 | part22 | part23,30,outhouse2 | hitthecan | toilet | vishealthy | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | part13 | part14 | part15 | holetrigger | visbase | base | part16 | part17 | part18 | part19 | part20 | part21 | part22 | part23,outhouse2 | hitthecan | toilet | vishealthy | holetrigger | visbase,504
204,toilet_flypart1,10,NA | outhouse1 | toilet_flypart1 | toilet | m8 | SND_BODY_FALL_SAND | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,outhouse1 | toilet,outhouse1 | toilet,1120
205,toilet_flypart2,10,NA | outhouse2 | toilet_flypart2 | toilet | m8 | SND_BODY_FALL_SAND | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,outhouse2 | toilet,outhouse2 | toilet,1120
206,base_outhouse1,26,NA | outhouse1 | base_outhouse1 | holetrigger | top_outhouse1 | set_hole1 | base | visbase | part16 | toilet_flypart1 | part17 | part18 | part19 | part20 | part21 | part22 | part23 | crap_spurt_up | effect_snow.tif | effect_snow02.tif | effect_snow03.tif | effect_snow04.tif | effect_snow05.tif | crap_fall_down | crapsound | SND_BULLET_INTO_BODY,12,outhouse1 | holetrigger | base | visbase | part16 | part17 | part18 | part19 | part20 | part21 | part22 | part23,outhouse1 | holetrigger | visbase,1204
207,base_outhouse2,26,NA | outhouse2 | base_outhouse2 | holetrigger | top_outhouse2 | set_hole2 | base | visbase | part16 | toilet_flypart2 | part17 | part18 | part19 | part20 | part21 | part22 | part23 | crap_spurt_up | effect_snow.tif | effect_snow02.tif | effect_snow03.tif | effect_snow04.tif | effect_snow05.tif | crap_fall_down | crapsound | SND_BULLET_INTO_BODY,12,outhouse2 | holetrigger | base | visbase | part16 | part17 | part18 | part19 | part20 | part21 | part22 | part23,outhouse2 | holetrigger | visbase,1204
208,set_hole1,5,NA | outhousehole1 | set_hole1 | outholehealthy1 | outholedestroyed1,3,outhousehole1 | outholehealthy1 | outholedestroyed1,outhousehole1 | outholehealthy1 | outholedestroyed1,44
209,set_hole2,5,NA | outhousehole2 | set_hole2 | outholehealthy2 | outholedestroyed2,3,outhousehole2 | outholehealthy2 | outholedestroyed2,outhousehole2 | outholehealthy2 | outholedestroyed2,44
210,aklite_on01,8,NA | aklite_01 | aklite_on01 | dilite | bulb | bulboff | flare | source,6,aklite_01 | dilite | bulb | bulboff | flare | source,aklite_01 | dilite | bulb | bulboff | flare,60
211,aklite_on02,8,NA | aklite_02 | aklite_on02 | dilite | bulb | bulboff | flare | source,6,aklite_02 | dilite | bulb | bulboff | flare | source,aklite_02 | dilite | bulb | bulboff | flare,60
212,aklite_on03,8,NA | aklite_03 | aklite_on03 | dilite | bulb | bulboff | flare | source,6,aklite_03 | dilite | bulb | bulboff | flare | source,aklite_03 | dilite | bulb | bulboff | flare,60
213,aklite_on04,8,NA | aklite_04 | aklite_on04 | dilite | bulb | bulboff | flare | source,6,aklite_04 | dilite | bulb | bulboff | flare | source,aklite_04 | dilite | bulb | bulboff | flare,60
214,aklite_on07,8,NA | aklite_07 | aklite_on07 | dilite | bulb | bulboff | flare | source,6,aklite_07 | dilite | bulb | bulboff | flare | source,aklite_07 | dilite | bulb | bulboff | flare,60
215,aklite_on08,8,NA | aklite_08 | aklite_on08 | dilite | bulb | bulboff | flare | source,6,aklite_08 | dilite | bulb | bulboff | flare | source,aklite_08 | dilite | bulb | bulboff | flare,60
216,aklite_on09,8,NA | aklite_09 | aklite_on09 | dilite | bulb | bulboff | flare | source,6,aklite_09 | dilite | bulb | bulboff | flare | source,aklite_09 | dilite | bulb | bulboff | flare,60
217,aklite_on10,8,NA | aklite_10 | aklite_on10 | dilite | bulb | bulboff | flare | source,6,aklite_10 | dilite | bulb | bulboff | flare | source,aklite_10 | dilite | bulb | bulboff | flare,60
218,aklite_on11,8,NA | aklite_11 | aklite_on11 | dilite | bulb | bulboff | flare | source,6,aklite_11 | dilite | bulb | bulboff | flare | source,aklite_11 | dilite | bulb | bulboff | flare,60
219,aklite_on12,8,NA | aklite_12 | aklite_on12 | dilite | bulb | bulboff | flare | source,6,aklite_12 | dilite | bulb | bulboff | flare | source,aklite_12 | dilite | bulb | bulboff | flare,60
220,aklite_on13,8,NA | aklite_13 | aklite_on13 | dilite | bulb | bulboff | flare | source,6,aklite_13 | dilite | bulb | bulboff | flare | source,aklite_13 | dilite | bulb | bulboff | flare,60
221,aklite_on14,8,NA | aklite_14 | aklite_on14 | dilite | bulb | bulboff | flare | source,6,aklite_14 | dilite | bulb | bulboff | flare | source,aklite_14 | dilite | bulb | bulboff | flare,60
222,aklite_on15,8,NA | aklite_15 | aklite_on15 | dilite | bulb | bulboff | flare | source,6,aklite_15 | dilite | bulb | bulboff | flare | source,aklite_15 | dilite | bulb | bulboff | flare,60
223,aklite_01,5,NA | aklite_01 | source | destroy_aklite | aklite_on01,2,aklite_01 | source,aklite_01,68
224,aklite_02,5,NA | aklite_02 | source | destroy_aklite | aklite_on02,2,aklite_02 | source,aklite_02,68
225,aklite_03,5,NA | aklite_03 | source | destroy_aklite | aklite_on03,2,aklite_03 | source,aklite_03,68
226,aklite_04,5,NA | aklite_04 | source | destroy_aklite | aklite_on04,2,aklite_04 | source,aklite_04,68
227,aklite_07,5,NA | aklite_07 | source | destroy_aklite | aklite_on07,2,aklite_07 | source,aklite_07,68
228,aklite_08,5,NA | aklite_08 | source | destroy_aklite | aklite_on08,2,aklite_08 | source,aklite_08,68
229,aklite_09,5,NA | aklite_09 | source | destroy_aklite | aklite_on09,2,aklite_09 | source,aklite_09,68
230,aklite_10,5,NA | aklite_10 | source | destroy_aklite | aklite_on10,2,aklite_10 | source,aklite_10,68
231,aklite_11,5,NA | aklite_11 | source | destroy_aklite | aklite_on11,2,aklite_11 | source,aklite_11,68
232,aklite_12,5,NA | aklite_12 | source | destroy_aklite | aklite_on12,2,aklite_12 | source,aklite_12,68
233,aklite_13,5,NA | aklite_13 | source | destroy_aklite | aklite_on13,2,aklite_13 | source,aklite_13,68
234,aklite_14,5,NA | aklite_14 | source | destroy_aklite | aklite_on14,2,aklite_14 | source,aklite_14,68
235,aklite_15,5,NA | aklite_15 | source | destroy_aklite | aklite_on15,2,aklite_15 | source,aklite_15,68
236,destroy_aklite,5,NA | destroy_aklite | lightout_sparks1 | cloudpuff01.tif | SND_GLASS_BREAK_VERY_SMALL,0,,,440
237,aklite_out01,7,NA | aklite_01 | aklite_out01 | bulb | bulboff | flare | source,5,aklite_01 | bulb | bulboff | flare | source,aklite_01 | bulb | bulboff | flare,60
238,aklite_out02,7,NA | aklite_02 | aklite_out02 | bulb | bulboff | flare | source,5,aklite_02 | bulb | bulboff | flare | source,aklite_02 | bulb | bulboff | flare,60
239,aklite_out03,7,NA | aklite_03 | aklite_out03 | bulb | bulboff | flare | source,5,aklite_03 | bulb | bulboff | flare | source,aklite_03 | bulb | bulboff | flare,60
240,aklite_out04,7,NA | aklite_04 | aklite_out04 | bulb | bulboff | flare | source,5,aklite_04 | bulb | bulboff | flare | source,aklite_04 | bulb | bulboff | flare,60
241,aklite_out07,7,NA | aklite_07 | aklite_out07 | bulb | bulboff | flare | source,5,aklite_07 | bulb | bulboff | flare | source,aklite_07 | bulb | bulboff | flare,60
242,aklite_out08,7,NA | aklite_08 | aklite_out08 | bulb | bulboff | flare | source,5,aklite_08 | bulb | bulboff | flare | source,aklite_08 | bulb | bulboff | flare,60
243,aklite_out09,7,NA | aklite_09 | aklite_out09 | bulb | bulboff | flare | source,5,aklite_09 | bulb | bulboff | flare | source,aklite_09 | bulb | bulboff | flare,60
244,aklite_out10,7,NA | aklite_10 | aklite_out10 | bulb | bulboff | flare | source,5,aklite_10 | bulb | bulboff | flare | source,aklite_10 | bulb | bulboff | flare,60
245,aklite_out11,7,NA | aklite_11 | aklite_out11 | bulb | bulboff | flare | source,5,aklite_11 | bulb | bulboff | flare | source,aklite_11 | bulb | bulboff | flare,60
246,aklite_out12,7,NA | aklite_12 | aklite_out12 | bulb | bulboff | flare | source,5,aklite_12 | bulb | bulboff | flare | source,aklite_12 | bulb | bulboff | flare,60
247,aklite_out13,7,NA | aklite_13 | aklite_out13 | bulb | bulboff | flare | source,5,aklite_13 | bulb | bulboff | flare | source,aklite_13 | bulb | bulboff | flare,60
248,aklite_out14,7,NA | aklite_14 | aklite_out14 | bulb | bulboff | flare | source,5,aklite_14 | bulb | bulboff | flare | source,aklite_14 | bulb | bulboff | flare,60
249,aklite_out15,7,NA | aklite_15 | aklite_out15 | bulb | bulboff | flare | source,5,aklite_15 | bulb | bulboff | flare | source,aklite_15 | bulb | bulboff | flare,60
250,alarm_off,6,NA | alarm_off | seq_0 | alarm_action_plate | alarm_switch_up | alarm_switch_down,1,alarm_action_plate,alarm_action_plate,328
251,alarm_switch_down,16,NA | alarmswitch | alarm_switch_down | switch | alarm_action_plate | stop_alarm_ls | alarm_light | lighton | alarmlight | lightoff | lightoff_green | lighton_green | alarmlight_green | single_alarm_range | trip_wires_off | alarm_triggers_off,9,alarmswitch | switch | alarm_action_plate | lighton | alarmlight | lightoff | lightoff_green | lighton_green | alarmlight_green,alarmswitch | alarm_action_plate | lighton | alarmlight | lightoff | lightoff_green | lighton_green | alarmlight_green,320
252,alarm_switch_up,11,NA | alarmswitch | alarm_switch_up | switch | alarm_action_plate | generator_off | lighton_green | lightoff_green | alarmlight_green | stop_alarm_ls | single_alarm_range,6,alarmswitch | switch | alarm_action_plate | lighton_green | lightoff_green | alarmlight_green,alarmswitch | alarm_action_plate | lighton_green | lightoff_green | alarmlight_green,300
253,alarm_triggers_on,12,NA | tripwire01 | alarm_triggers_on | start_ranges | single_alarm_range | alarm_on_01 | alarm_on_02 | alarm_on_03 | start_beam | trip_wire_on01 | trip_wire_on02 | trip_wire_on03,1,tripwire01,tripwire01,208
254,thealarm_sound,9,NA | alarmhorn | thealarm_sound | SND_SIREN | MUS_M8_ALARM | hornlight | hornlightbox_on | hornlightbox_off | flare1,5,alarmhorn | hornlight | hornlightbox_on | hornlightbox_off | flare1,alarmhorn | hornlight | hornlightbox_on | hornlightbox_off | flare1,328
255,stop_alarm_ls,8,NA | alarmhorn | stop_alarm_ls | thealarm_sound | hornlight | hornlightbox_on | hornlightbox_off | flare1,5,alarmhorn | hornlight | hornlightbox_on | hornlightbox_off | flare1,alarmhorn | hornlight | hornlightbox_on | hornlightbox_off | flare1,68
256,alarm_light,7,NA | alarmswitch | alarm_light | lighton | alarmlight | lightoff | alarmlight_green,5,alarmswitch | lighton | alarmlight | lightoff | alarmlight_green,alarmswitch | lighton | alarmlight | lightoff | alarmlight_green,152
257,alarm_on_01,17,NA | tripwire01 | alarm_on_01 | alarm_trip_test | tripwire_on_01 | player | detector_node | start_alarm | Hutchins | Bailey | DiMone | comerunning | alarm_light | SinglePlay | run/movies/m8/klaxon.pss | thealarm_sound | alarm_triggers_off,2,tripwire01 | detector_node,tripwire01 | detector_node,488
258,alarm_on_02,17,NA | tripwire02 | alarm_on_02 | alarm_trip_test | tripwire_on_02 | player | detector_node | start_alarm | Hutchins | Bailey | DiMone | comerunning | alarm_light | SinglePlay | run/movies/m8/klaxon.pss | thealarm_sound | alarm_triggers_off,2,tripwire02 | detector_node,tripwire02 | detector_node,488
259,alarm_on_03,17,NA | tripwire03 | alarm_on_03 | alarm_trip_test | tripwire_on_03 | player | detector_node | start_alarm | Hutchins | Bailey | DiMone | comerunning | alarm_light | SinglePlay | run/movies/m8/klaxon.pss | thealarm_sound | alarm_triggers_off,2,tripwire03 | detector_node,tripwire03 | detector_node,488
260,manual_alarm,11,NA | manual_alarm | start_alarm | generator_off | comerunning | single_alarm_range | alarm_light | run/movies/m8/klaxon.pss | thealarm_sound | alarm_triggers_off | trip_wires_off,0,,,188
261,alarm_off_01,5,NA | tripwire01 | alarm_off_01 | alarm_trip_test | alarm_on_01,1,tripwire01,tripwire01,36
262,alarm_off_02,5,NA | tripwire02 | alarm_off_02 | alarm_trip_test | alarm_on_02,1,tripwire02,tripwire02,36
263,alarm_off_03,5,NA | tripwire03 | alarm_off_03 | alarm_trip_test | alarm_on_03,1,tripwire03,tripwire03,36
264,alarm_triggers_off,7,NA | tripwire01 | alarm_triggers_off | stop_ranges | alarm_off_01 | alarm_off_02 | alarm_off_03,1,tripwire01,tripwire01,100
265,trip_wires_off,7,NA | tripwire01 | trip_wires_off | stop_beam | trip_wire_off01 | trip_wire_off02 | trip_wire_off03,1,tripwire01,tripwire01,100
266,trip_wire_off01,8,NA | tripwire01 | trip_wire_off01 | turnoffbeam | trip_wire_on01 | mdbeam | mdgreen | mdlight,4,tripwire01 | mdbeam | mdgreen | mdlight,tripwire01 | mdbeam | mdgreen | mdlight,60
267,trip_wire_off02,8,NA | tripwire02 | trip_wire_off02 | turnoffbeam | trip_wire_on02 | mdbeam | mdgreen | mdlight,4,tripwire02 | mdbeam | mdgreen | mdlight,tripwire02 | mdbeam | mdgreen | mdlight,60
268,trip_wire_off03,8,NA | tripwire03 | trip_wire_off03 | turnoffbeam | trip_wire_on03 | mdbeam | mdgreen | mdlight,4,tripwire03 | mdbeam | mdgreen | mdlight,tripwire03 | mdbeam | mdgreen | mdlight,60
269,trip_wire_on01,7,NA | tripwire01 | trip_wire_on01 | mdbeam | mdgreen | mdlight | rotatebeam,4,tripwire01 | mdbeam | mdgreen | mdlight,tripwire01 | mdbeam | mdgreen | mdlight,160
270,trip_wire_on02,7,NA | tripwire02 | trip_wire_on02 | mdbeam | mdgreen | mdlight | rotatebeam,4,tripwire02 | mdbeam | mdgreen | mdlight,tripwire02 | mdbeam | mdgreen | mdlight,160
271,trip_wire_on03,7,NA | tripwire03 | trip_wire_on03 | mdbeam | mdgreen | mdlight | rotatebeam,4,tripwire03 | mdbeam | mdgreen | mdlight,tripwire03 | mdbeam | mdgreen | mdlight,160
272,single_alarm_range,10,NA | tripwire01 | single_alarm_range | check_ranges | player | detector_node | alarm_triggers_on | Bailey | Hutchins | DiMone,2,tripwire01 | detector_node,tripwire01 | detector_node,352
273,russian_tunes1,12,NA | radio1 | russian_tunes1 | tune_1 | random_pick | tune_3 | tune_2 | MUS_ALASKA_RADIO_01 | indoor_outdoor | music_off | MUS_ALASKA_RADIO_02 | MUS_ALASKA_RADIO_03,1,radio1,radio1,708
274,russian_tunes2,12,NA | radio2 | russian_tunes2 | tune_1 | random_pick | tune_3 | tune_2 | MUS_ALASKA_RADIO_01 | indoor_outdoor | music_off | MUS_ALASKA_RADIO_02 | MUS_ALASKA_RADIO_03,1,radio2,radio2,708
275,russian_tunes3,12,NA | radio3 | russian_tunes3 | tune_1 | random_pick | tune_3 | tune_2 | MUS_ALASKA_RADIO_01 | indoor_outdoor | music_off | MUS_ALASKA_RADIO_02 | MUS_ALASKA_RADIO_03,1,radio3,radio3,708
276,russian_radio1,8,NA | radio1 | russian_radio1 | russian_tunes1 | streaker | cloudpuff01.tif | sparker | flare_red.tif,1,radio1,radio1,788
277,russian_radio2,8,NA | radio2 | russian_radio2 | russian_tunes2 | streaker | cloudpuff01.tif | sparker | flare_red.tif,1,radio2,radio2,788
278,russian_radio3,8,NA | radio3 | russian_radio3 | russian_tunes3 | streaker | cloudpuff01.tif | sparker | flare_red.tif,1,radio3,radio3,788
279,crate_group01,27,NA | crate_group01 | crate_good | cratecount | crate_parts | group_part_fly01 | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | SND_WOOD_EXPLOSION | extra_explosives | SND_C4_EXPLOSION_1 | fire_explode_med | explosive_stuff | exploding_fuel | mad_crows | SND_CROW_SQUAK | mad_crows2,15,crate_group01 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12,crate_group01 | crate_good | crate_parts,1364
280,crate_group02,27,NA | crate_group02 | crate_good | cratecount | crate_parts | group_part_fly02 | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | SND_WOOD_EXPLOSION | extra_explosives | SND_C4_EXPLOSION_1 | fire_explode_med | explosive_stuff | exploding_fuel | mad_crows | SND_CROW_SQUAK | mad_crows2,15,crate_group02 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12,crate_group02 | crate_good | crate_parts,1364
281,crate_group03,27,NA | crate_group03 | crate_good | cratecount | crate_parts | group_part_fly03 | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12 | SND_WOOD_EXPLOSION | extra_explosives | SND_C4_EXPLOSION_1 | fire_explode_med | explosive_stuff | exploding_fuel | mad_crows | SND_CROW_SQUAK | mad_crows2,15,crate_group03 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5 | part6 | part7 | part8 | part9 | part10 | part11 | part12,crate_group03 | crate_good | crate_parts,1364
282,group_part_fly01,9,NA | crate_group01 | group_part_fly01 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_group01 | crate_parts,crate_group01 | crate_parts,1120
283,group_part_fly02,9,NA | crate_group02 | group_part_fly02 | crate_parts | m8 | gas_fire1 | fire_hardedge.tif | gen_smoke1 | cloudpuff01.tif,2,crate_group02 | crate_parts,crate_group02 | crate_parts,1120
